	Model Cluster	p Value Log	Odds Ratio	Description	Antibody	Size	Cluster Site - TF Region Overlap (a)	TF Region Only (b)	Cluster Site Only (c)	Assessed Methylation Background (d)	ENOCDE File
3780	8	0.3392227389074706	1.321005051252002	encode_v4_hg19 TEAD4	TEAD4	35894.0	2	21296	33	464181	ENCFF501XJP.bed
3781	7	0.33896231854398395	1.0716226337816015	encode_v4_hg19 ZEB2	ZEB2	38956.0	12	58958	81	426461	ENCFF813DZP.bed
3782	7	0.33841494173418313	1.6415704751454463	encode_v4_hg19 BCL6B	BCL6B	8623.0	1	3193	92	482226	ENCFF884UOX.bed
3783	8	0.33832180951003465	1.1518229544456915	encode_v4_hg19 MYC	MYC	32146.0	5	61367	30	424110	ENCFF239IMY.bed
3784	1	0.33831290589868546	1.1422323665384086	encode_v4_hg19 CTCF	CTCF	45044.0	5	43037	45	442425	ENCFF051BZX.bed
3785	1	0.33801238141098944	1.213347855361673	encode_v4_hg19 CTCF	CTCF	37208.0	3	24262	47	461200	ENCFF681RYK.bed
3786	2	0.3376986823289754	1.6642110850208593	encode_v4_hg19 CEBPB	CEBPB	37670.0	1	9855	29	475627	ENCFF240ZHW.bed
3787	1	0.33744734006420407	1.2121908110254334	encode_v4_hg19 CTCF	CTCF	34798.0	3	24284	47	461178	ENCFF887BKS.bed
3788	7	0.3371997039547614	1.0918706738133057	encode_v4_hg19 GFI1	GFI1	26175.0	8	38521	85	446898	ENCFF999HNJ.bed
3789	6	0.33700807859297877	1.6309138365367066	encode_v4_hg19 PHB2	PHB2	5731.0	1	2314	128	483069	ENCFF785QJM.bed
3790	4	0.33683787954504524	1.640682798560119	encode_v4_hg19 NFE2L2	NFE2L2	17105.0	1	5136	57	480318	ENCFF585XWV.bed
3791	2	0.33679826497653836	1.6593978217448109	encode_v4_hg19 GATA2	GATA2	33746.0	1	9883	29	475599	ENCFF567HPV.bed
3792	1	0.3367572521625749	1.1660574507615333	encode_v4_hg19 ZNF609	ZNF609	24990.0	4	33690	46	451772	ENCFF667MEL.bed
